날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 미국","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 아르헨티나","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 인도",참고사항
2025년 10월 12일,157,157,0,0,0,
2025년 10월 13일,111,111,0,0,0,
2025년 10월 14일,111,109,0,0,0,
2025년 10월 15일,102,102,0,0,0,
2025년 10월 16일,77,77,0,0,0,
2025년 10월 17일,76,76,0,0,0,
2025년 10월 18일,118,117,0,0,0,
2025년 10월 19일,79,79,0,0,0,
2025년 10월 20일,44,44,0,0,0,
2025년 10월 21일,44,44,0,0,0,
2025년 10월 22일,38,38,0,0,0,
2025년 10월 23일,105,105,0,0,0,
2025년 10월 24일,42,42,0,0,0,
2025년 10월 25일,57,56,0,0,0,
2025년 10월 26일,56,56,0,0,0,
2025년 10월 27일,48,48,0,0,0,버전 출시: 100%를 대상으로 2601 (2.6.1) 출시 시작됨.
2025년 10월 28일,53,52,0,0,0,버전 출시: 100%를 대상으로 트래커 코스선택 추가 출시 시작됨.
2025년 10월 29일,52,52,0,0,0,
2025년 10월 30일,62,62,0,0,0,버전 출시: 100%를 대상으로 2603 (2.6.3) 출시 시작됨.
2025년 10월 31일,40,39,0,0,0,
2025년 11월 1일,54,54,0,0,0,
2025년 11월 2일,34,34,0,0,0,
2025년 11월 3일,33,33,0,0,0,
2025년 11월 4일,39,39,0,0,0,
2025년 11월 5일,17,17,0,0,0,
2025년 11월 6일,24,23,0,0,0,
2025년 11월 7일,25,25,0,0,0,
2025년 11월 8일,22,22,0,0,0,
2025년 11월 9일,32,32,0,0,0,
2025년 11월 10일,24,24,0,0,0,
2025년 11월 11일,25,25,0,0,0,
2025년 11월 12일,21,21,0,0,0,
2025년 11월 13일,23,22,0,0,0,
2025년 11월 14일,24,24,0,0,0,
2025년 11월 15일,28,28,0,0,0,
2025년 11월 16일,111,110,0,0,0,
2025년 11월 17일,38,37,1,0,0,
2025년 11월 18일,37,35,0,0,0,
2025년 11월 19일,35,35,0,0,0,
2025년 11월 20일,37,37,0,0,0,
2025년 11월 21일,20,20,0,0,0,
2025년 11월 22일,137,137,0,0,0,
2025년 11월 23일,20,20,0,0,0,
2025년 11월 24일,16,16,0,0,0,
2025년 11월 25일,18,18,0,0,0,
2025년 11월 26일,28,28,0,0,0,
2025년 11월 27일,17,17,0,0,0,
2025년 11월 28일,14,14,0,0,0,
2025년 11월 29일,65,65,0,0,0,
2025년 11월 30일,24,24,0,0,0,
2025년 12월 1일,17,17,0,0,0,
2025년 12월 2일,22,22,0,0,0,
2025년 12월 3일,16,14,0,0,0,
2025년 12월 4일,13,12,0,0,0,
2025년 12월 5일,13,13,0,0,0,
2025년 12월 6일,14,14,0,0,0,
2025년 12월 7일,18,18,0,0,0,
2025년 12월 8일,14,14,0,0,0,
2025년 12월 9일,11,11,0,0,0,
2025년 12월 10일,18,18,0,0,0,
2025년 12월 11일,12,12,0,0,0,버전 출시: 100%를 대상으로 3000 (3.0.0) 출시 시작됨.
2025년 12월 12일,19,18,0,0,0,
2025년 12월 13일,9,9,0,0,0,
2025년 12월 14일,11,11,0,0,0,버전 출시: 100%를 대상으로 3001 (3.0.0) 출시 시작됨.
