# ----------------------------------------
# 보고서 개요
# 계정: APP_러닝라이프
# 속성: 러닝라이프
# ----------------------------------------
#  
# 시작일: 20250101
# 종료일: 20260601
N주,활성 사용자
# 종료일: 20260601
국가,활성 사용자
KR,126853
US,557
JP,285
VN,120
SG,117
CN,105
DE,73

# 활성 사용자 추이
# 시작일: 20250101
# 종료일: 20260601
N일,30일,7일,1일
0000,128,37,4
0001,131,36,5
0002,131,32,3
0003,132,32,6
0004,129,29,6
0005,132,28,10
0006,132,32,11
0007,131,34,10
0008,128,30,6
0009,128,29,5
0010,126,30,5
0011,128,39,15
0012,129,39,7
0013,131,42,16
0014,132,46,10
0015,133,46,6
0016,128,50,8
0017,129,48,4
0018,130,40,4
0019,132,39,8
0020,141,40,16
0021,135,37,10
0022,158,65,35
0023,249,156,104
0024,311,223,85
0025,353,267,66
0026,408,320,78
0027,475,382,91
0028,545,456,91
0029,593,486,79
0030,627,465,136
0031,655,456,75
0032,699,469,75
0033,710,443,48
0034,1144,839,471
0035,1217,866,146
0036,1250,866,85
0037,1269,793,67
0038,1287,767,52
0039,1303,735,64
0040,1318,735,71
0041,1399,493,132
0042,1458,560,250
0043,1482,567,102
0044,1515,577,83
0045,1542,587,77
0046,1561,591,81
0047,1588,602,85
0048,1673,629,135
0049,1856,662,235
0050,1958,729,189
0051,2127,917,360
0052,2313,1082,273
0053,2505,1314,426
0054,2655,1487,362
0055,2775,1660,528
0056,2925,1751,319
0057,3067,1852,296
0058,3144,1798,262
0059,3281,1872,432
0060,3458,1898,378
0061,3653,1961,400
0062,3774,1846,366
0063,3930,1864,354
0064,3831,1851,330
0065,3915,1885,320
0066,4022,1802,339
0067,4192,1857,470
0068,4301,1817,355
0069,4403,1770,316
0070,4492,1759,326
0071,4545,1733,307
0072,4567,1731,344
0073,4645,1753,366
0074,4733,1890,728
0075,4866,1994,579
0076,4967,2051,386
0077,5064,2089,353
0078,5148,2137,376
0079,5193,2182,476
0080,5303,2235,430
0081,5287,2040,357
0082,5278,1925,332
0083,5282,1952,396
0084,5350,2012,386
0085,5326,2043,380
0086,5330,1938,305
0087,5347,1880,335
0088,5454,2073,673
0089,5459,2133,437
0090,5456,2116,357
0091,5434,2105,354
0092,5455,2099,372
0093,5444,2099,289
0094,5496,2116,335
0095,5605,1989,464
0096,5698,2014,484
0097,5739,2078,454
0098,5808,2109,421
0099,5876,2132,442
0100,5919,2207,409
0101,5985,2246,393
0102,6045,2235,486
0103,6103,2225,453
0104,6018,2220,462
0105,6029,2265,485
0106,6062,2243,416
0107,6039,2189,346
0108,6041,2178,331
0109,6037,2174,424
0110,6074,2197,480
0111,6101,2221,440
0112,6152,2167,438
0113,6161,2139,357
0114,6130,2148,347
0115,6091,2103,292
0116,6168,2126,447
0117,6247,2118,458
0118,6167,2119,428
0119,6180,2287,684
0120,6207,2298,404
0121,6177,2265,313
0122,6178,2294,336
0123,6247,2293,404
0124,6275,2243,362
0125,6331,2261,423
0126,6312,2044,428
0127,6295,2039,386
0128,6289,2056,362
0129,6326,2089,398
0130,6412,2148,473
0131,6501,2251,528
0132,6532,2304,488
0133,6733,2467,584
0134,6930,2645,592
0135,7190,3002,709
0136,7464,3292,672
0137,7778,3582,736
0138,8150,3807,735
0139,8465,4105,772
0140,8777,4282,760
0141,9215,4464,754
0142,9588,4533,745
0143,9993,4673,825
0144,10513,4931,1023
0145,11116,5164,991
0146,11491,5248,888
0147,11818,5212,769
0148,12058,5106,675
0149,12256,5039,673
0150,12627,4922,698
0151,12868,4656,672
0152,13178,4425,699
0153,13494,4294,733
0154,13904,4536,1164
0155,14180,4601,805
0156,14434,4582,672
0157,14743,4578,687
0158,15103,4611,711
0159,15424,4646,733
0160,15718,4707,763
0161,15978,4421,773
0162,16274,4389,745
0163,16360,4407,704
0164,16444,4411,698
0165,16422,4442,723
0166,16453,4472,781
0167,16480,4460,762
0168,16532,4451,759
0169,16817,4723,1009
0170,17005,4959,950
0171,17232,5284,1007
0172,17358,5505,918
0173,17552,5754,1003
0174,17652,6191,1334
0175,17641,6404,997
0176,17800,6433,1111
0177,17901,6300,797
0178,17947,6023,651
0179,18018,5870,764
0180,17979,5547,669
0181,18062,5068,709
0182,18049,4767,645
0183,18016,4300,596
0184,17755,4060,519
0185,17661,3985,523
0186,17650,3847,609
0187,17638,3837,669
0188,17641,3786,625
0189,17666,3798,615
0190,17644,3837,643
0191,17610,3935,624
0192,17732,4124,726
0193,17532,3818,291
0194,17430,3704,537
0195,17544,3844,783
0196,17570,3946,749
0197,17549,3921,584
0198,17526,3940,672
0199,17190,3776,538
0200,16906,4066,585
0201,16668,4235,696
0202,16397,4140,662
0203,16110,4030,610
